SM_LINCS_ID	SM_Center_Canonical_ID
LSM-1751	BRD-A70649075
LSM-1751	CGC00002001
LSM-1752	BRD-A71009679
LSM-1753	BRD-A91475034
LSM-1754	BRD-A71203467
LSM-1755	BRD-A71262238
LSM-1756	BRD-A71459254
LSM-1757	BRD-A71657825
LSM-1758	BRD-A71765365
LSM-1760	BRD-A71816415
LSM-1761	BRD-A72066420
LSM-1762	BRD-A72069525
LSM-1763	BRD-A72180425
LSM-1764	BRD-A72483914
LSM-1765	BRD-A72596465
LSM-1766	BRD-A72703248
LSM-1767	BRD-A72711497
LSM-1768	BRD-A72758037
LSM-1769	BRD-A72988804
LSM-1770	BRD-A73368467
LSM-1771	BRD-A73581086
LSM-1773	BRD-A73741725
LSM-1774	BRD-A73747855
LSM-1775	BRD-A73859745
LSM-1776	BRD-A73909368
LSM-1777	BRD-A74134989
LSM-1778	BRD-A74269027
LSM-1779	BRD-A74608937
LSM-1780	BRD-A74642112
LSM-1781	BRD-A74667430
LSM-1781	BRD-A16998493
LSM-1782	BRD-A74975734
LSM-1783	BRD-A74983348
LSM-1784	BRD-A75106577
LSM-1785	BRD-A75172220
LSM-1786	BRD-A75301702
LSM-1787	BRD-A75402480
LSM-1788	BRD-A75409952
LSM-1790	BRD-A75478957
LSM-1791	BRD-A75552914
LSM-1792	BRD-A75558199
LSM-1793	BRD-A75769826
LSM-1794	BRD-A76093993
LSM-1795	BRD-A76463343
LSM-1796	BRD-A76490030
LSM-1797	BRD-A76528577
LSM-1798	BRD-A76641868
LSM-1799	BRD-A76941896
LSM-1800	BRD-A77291778
LSM-1801	BRD-A77299732
LSM-1802	BRD-A77349281
LSM-1804	BRD-A77824596
LSM-1805	BRD-A78295502
LSM-1806	BRD-A78303415
LSM-1807	BRD-A78322124
LSM-1807	DOB
LSM-1808	BRD-A78360835
LSM-1809	BRD-A78377521
LSM-1809	CGC00002756
LSM-1810	BRD-A78391468
LSM-1811	BRD-A78877355
LSM-1812	BRD-A78942461
LSM-1814	BRD-A79672927
LSM-1815	BRD-A79981887
LSM-1816	BRD-A80017228
LSM-1817	BRD-A80151636
LSM-1818	BRD-A80213327
LSM-1819	BRD-A80386041
LSM-1820	BRD-A80502530
LSM-1821	BRD-A80536908
LSM-1822	BRD-A80641450
LSM-1823	BRD-A81045722
LSM-1824	BRD-A81177136
LSM-1825	BRD-A81372523
LSM-1826	BRD-A81377415
LSM-1827	BRD-A81389811
LSM-1828	BRD-A81402010
LSM-1829	BRD-A81416315
LSM-1830	BRD-A81772229
LSM-1831	BRD-A81795050
LSM-1832	BRD-A81866333
LSM-1833	BRD-A82096673
LSM-1834	BRD-A82197375
LSM-1835	BRD-A82238138
LSM-1836	BRD-A82329351
LSM-1837	BRD-A82371568
LSM-1838	BRD-A82590476
LSM-1839	BRD-A82656074
LSM-1840	BRD-A82913781
LSM-1841	BRD-A82976242
LSM-1842	BRD-A83081521
LSM-1843	BRD-A83255679
LSM-1844	BRD-A83326220
LSM-1845	BRD-A83402799
LSM-1846	BRD-A83431637
LSM-1847	BRD-A83695761
LSM-1848	BRD-A83706824
LSM-1849	BRD-A83802330
LSM-1850	BRD-A83855350
LSM-1851	BRD-A83859836
LSM-1852	BRD-A83937277
LSM-1853	BRD-A83993876
LSM-1854	BRD-A84098870
LSM-1855	BRD-A84174393
LSM-1856	BRD-A84189516
LSM-1857	BRD-A84205515
LSM-1858	BRD-A84280790
LSM-1859	BRD-A84389091
LSM-1860	BRD-A84389633
LSM-1861	BRD-A84445767
LSM-1862	BRD-A84475555
LSM-1863	BRD-A84481105
LSM-1864	BRD-A84493640
LSM-1864	BRD-A38161572
LSM-1865	BRD-A84524947
LSM-1866	BRD-A84909344
LSM-1867	BRD-A85234536
LSM-1868	BRD-A85280935
LSM-1870	BRD-A85472596
LSM-1871	BRD-A85587465
LSM-1872	BRD-A85712510
LSM-1873	BRD-A85891951
LSM-1874	BRD-A86109770
LSM-1875	BRD-A86792397
LSM-1876	BRD-A86990971
LSM-1877	BRD-A87445400
LSM-1878	BRD-A87479750
LSM-1879	BRD-A87606379
LSM-1880	BRD-A87719232
LSM-1881	BRD-A88080608
LSM-1882	BRD-A88282067
LSM-1883	BRD-A89047717
LSM-1884	BRD-A89049230
LSM-1885	BRD-A89104433
LSM-1886	BRD-A89175223
LSM-1886	BRD-M21493215
LSM-1887	BRD-A89208012
LSM-1888	BRD-A89337244
LSM-1889	BRD-A89352139
LSM-1890	BRD-A89434049
LSM-1891	BRD-A89494828
LSM-1892	BRD-A89672324
LSM-1893	BRD-A90131694
LSM-1894	BRD-A90311807
LSM-1895	BRD-A90490067
LSM-1896	BRD-A90515964
LSM-1897	BRD-A69927616
LSM-1897	BRD-A90799790
LSM-1898	BRD-A91008255
LSM-1899	BRD-A91452556
LSM-1900	BRD-A91477472
LSM-1901	BRD-A91699651
LSM-1903	BRD-A92161634
LSM-1904	BRD-A92177080
LSM-1905	BRD-A92439610
LSM-1906	BRD-A92537424
LSM-1907	BRD-A92585442
LSM-1908	BRD-A92651262
LSM-1909	BRD-A92670106
LSM-1910	BRD-A92826379
LSM-1911	BRD-A93000692
LSM-1912	BRD-A93206962
LSM-1913	BRD-A93236127
LSM-1914	BRD-A93255169
LSM-1915	BRD-A93424738
LSM-1916	BRD-A93426597
LSM-1917	BRD-A93477898
LSM-1918	BRD-A93507363
LSM-1919	BRD-A93659613
LSM-1920	BRD-A93942655
LSM-1921	BRD-A93975555
LSM-1922	BRD-A94297859
LSM-1923	BRD-A94413429
LSM-1924	BRD-A94567954
LSM-1925	BRD-A94570195
LSM-1926	BRD-A94624445
LSM-1927	BRD-A94669766
LSM-1928	BRD-A94675310
LSM-1929	BRD-A94709349
LSM-1930	BRD-A94756469
LSM-1931	BRD-A95096829
LSM-1932	BRD-A95445494
LSM-1933	BRD-A95513702
LSM-1934	BRD-A95696066
LSM-1935	BRD-A95795120
LSM-1936	BRD-A95869247
LSM-1937	BRD-A95937159
LSM-1938	BRD-A95939040
LSM-1939	BRD-A96006241
LSM-1940	BRD-A96456596
LSM-1941	BRD-A96485169
LSM-1942	BRD-A96746500
LSM-1943	BRD-A96749488
LSM-1944	BRD-A96820077
LSM-1945	BRD-A96882008
LSM-1946	BRD-A96897502
LSM-1947	BRD-A97035593
LSM-1948	CGC00000634
LSM-1948	BRD-A97104540
LSM-1949	BRD-A97437073
LSM-1950	BRD-A97454584
LSM-1951	BRD-A97479839
LSM-1952	BRD-A97674275
LSM-1953	BRD-A97701745
LSM-1954	BRD-A97730597
LSM-1955	BRD-A97739905
LSM-1956	BRD-A98050686
LSM-1957	BRD-A98200599
LSM-1958	BRD-A98248982
LSM-1959	BRD-A98299281
LSM-1960	BRD-A98378129
LSM-1961	BRD-A98431941
LSM-1962	BRD-A98444709
LSM-1963	BRD-A98702003
LSM-1964	BRD-A98725278
LSM-1965	BRD-A99164655
LSM-1966	BRD-A99177642
LSM-1967	BRD-A99218607
LSM-1968	BRD-A99411506
LSM-1969	BRD-A99449986
LSM-1970	BRD-A99518825
LSM-1971	BRD-A99571536
LSM-1972	BRD-A99911370
LSM-1973	BRD-K00028814
LSM-1974	BRD-K00203625
LSM-1975	BRD-K56478238
LSM-1975	BRD-K00206590
LSM-1976	BRD-K00234327
LSM-1978	BRD-K00312224
LSM-1979	BRD-K00313977
LSM-1980	BRD-K00366212
LSM-1981	BRD-K00430421
LSM-1982	BRD-K00442147
LSM-1983	BRD-K00486786
LSM-1984	BRD-K00541156
LSM-1985	BRD-K00555438
LSM-1986	BRD-K00603606
LSM-1987	BRD-K00610438
LSM-1988	BRD-K00615600
LSM-1989	BRD-K00624509
LSM-1990	BRD-K00637033
LSM-1991	BRD-K00662280
LSM-1992	BRD-K00675675
LSM-1993	BRD-K00824317
LSM-1994	BRD-K00863322
LSM-1996	BRD-K00925050
LSM-1997	BRD-K00959089
LSM-1998	BRD-K01089529
LSM-1999	BRD-K01095011
LSM-2000	BRD-K01265221
LSM-2001	CGC00000097
LSM-2001	BRD-K01292756
LSM-2002	BRD-K01333970
LSM-2003	BRD-K01555864
LSM-2004	BRD-K18749194
LSM-2005	BRD-K01602319
LSM-2007	BRD-K01648091
LSM-2008	BRD-K01663662
LSM-2009	BRD-K01712134
LSM-2010	BRD-K01806521
LSM-2011	BRD-K01815685
LSM-2012	BRD-K01834163
LSM-2013	BRD-K01877528
LSM-2014	BRD-K01896723
LSM-2015	BRD-K01902415
LSM-2016	BRD-K01926222
LSM-2017	BRD-K02113384
LSM-2018	BRD-K02174945
LSM-2019	BRD-K02175743
LSM-2020	BRD-K02216544
LSM-2021	BRD-K02265150
LSM-2022	BRD-K02275692
LSM-2024	BRD-K02313433
LSM-2025	BRD-K02381115
LSM-2026	BRD-K02404261
LSM-2027	BRD-K02437976
LSM-2028	BRD-K02458594
LSM-2029	BRD-K02581333
LSM-2030	BRD-K02590140
LSM-2031	BRD-K02607075
LSM-2032	BRD-K02637541
LSM-2033	BRD-K02641134
LSM-2034	BRD-K02646507
LSM-2035	BRD-K02715688
LSM-2036	BRD-K02735834
LSM-2037	BRD-K02867583
LSM-2038	BRD-K02953697
LSM-2039	BRD-K02986291
LSM-2040	BRD-K03015355
LSM-2041	BRD-K03067624
LSM-2042	BRD-K03109492
LSM-2042	10266
LSM-2043	BRD-K25433859
LSM-2044	BRD-K03339442
LSM-2045	BRD-K03371390
LSM-2046	BRD-K03384561
LSM-2047	BRD-K03440695
LSM-2048	BRD-K03552198
LSM-2050	BRD-K03568209
LSM-2051	BRD-K03600606
LSM-2053	BRD-K03642198
LSM-2054	BRD-K03670461
LSM-2055	BRD-K03704870
LSM-2056	BRD-K39256324
LSM-2057	BRD-K03829970
LSM-2058	BRD-K03842655
LSM-2059	BRD-K03857568
LSM-2060	BRD-K03954795
LSM-2061	BRD-K03981224
LSM-2063	BRD-K04046242
LSM-2064	BRD-K04111260
LSM-2065	BRD-K04136539
LSM-2066	BRD-K04146668
LSM-2067	BRD-K04156788
LSM-2068	BRD-K04170657
LSM-2069	BRD-K04185004
LSM-2070	BRD-K04188046
LSM-2072	BRD-K91328526
LSM-2073	BRD-K04279026
LSM-2074	BRD-K04363266
LSM-2075	BRD-K04414442
LSM-2076	BRD-K04516579
LSM-2078	10249
LSM-2078	EPI
LSM-2078	BRD-K04548931
LSM-2079	BRD-K04676863
LSM-2080	BRD-K04779531
LSM-2081	BRD-K04877770
LSM-2082	BRD-K04930762
LSM-2083	BRD-K04976539
LSM-2084	BRD-K05002121
LSM-2085	BRD-K05151076
LSM-2086	BRD-K05153001
LSM-2087	BRD-K05181084
LSM-2088	BRD-K05181463
LSM-2089	BRD-K05326558
LSM-2090	BRD-K05331696
LSM-2091	BRD-K05359840
LSM-2092	BRD-K05361803
LSM-2093	BRD-K05395900
LSM-2094	BRD-K05402890
LSM-2095	BRD-K05433219
LSM-2096	BRD-K05434375
LSM-2097	BRD-K05464208
LSM-2098	BRD-K05528470
LSM-2099	BRD-K05549170
LSM-2100	BRD-K05563014
LSM-2101	BRD-K05566481
LSM-2102	BRD-K05737787
LSM-2103	BRD-K05861053
LSM-2104	BRD-K05901394
LSM-2105	BRD-K05906022
LSM-2106	BRD-K05977355
LSM-2108	BRD-K06014311
LSM-2109	BRD-K06020002
LSM-2110	BRD-K06024458
LSM-2111	BRD-K06147391
LSM-2112	BRD-K06159959
LSM-2113	BRD-K06180729
LSM-2114	BRD-K06186994
LSM-2115	BRD-K06198550
LSM-2116	BRD-K06206016
LSM-2117	BRD-K06208435
LSM-2118	BRD-K06217810
LSM-2119	BRD-K06221026
LSM-2120	BRD-K06234293
LSM-2121	BRD-K06426971
LSM-2122	BRD-K06432680
LSM-2123	BRD-K06436323
LSM-2124	BRD-K06467078
LSM-2125	BRD-K06543683
LSM-2126	BRD-K06555716
LSM-2127	BRD-K06593056
LSM-2128	BRD-K06712146
LSM-2129	BRD-K06748700
LSM-2130	BRD-K06753942
LSM-2132	BRD-K06854232
LSM-2133	BRD-K06895174
LSM-2134	BRD-K06902185
LSM-2134	BRD-K14888893
LSM-2135	BRD-K06926592
LSM-2136	BRD-K06956503
LSM-2137	BRD-K06980535
LSM-2138	BRD-K07079548
LSM-2139	BRD-K07101857
LSM-2140	BRD-K07117950
LSM-2142	BRD-K74927006
LSM-2143	BRD-K07259155
LSM-2145	BRD-K07398339
LSM-2146	BRD-K07507905
LSM-2147	BRD-K07515761
LSM-2149	BRD-K07530279
LSM-2150	BRD-K07668032
LSM-2151	BRD-K07762753
LSM-2152	BRD-K07790824
LSM-2152	BRD-K14842454
LSM-2153	BRD-K07872006
LSM-2155	BRD-K07995125
LSM-2157	BRD-K08109516
LSM-2158	BRD-K08132273
LSM-2159	BRD-K08174547
LSM-2160	BRD-K08252256
LSM-2160	DIC
LSM-2161	BRD-K08287586
LSM-2162	BRD-K08325710
LSM-2163	BRD-K08438429
LSM-2164	BRD-K08447949
LSM-2165	BRD-K08463963
LSM-2167	BRD-K08547377
LSM-2167	10246
LSM-2168	BRD-K08554278
LSM-2169	BRD-K08556791
LSM-2170	BRD-K08619574
LSM-2171	BRD-K08619838
LSM-2172	BRD-K08640512
LSM-2173	BRD-K08640787
LSM-2174	BRD-K08714182
LSM-2175	BRD-K08799912
LSM-2176	BRD-K08806317
LSM-2177	BRD-K08829932
LSM-2178	BRD-K08857385
LSM-2179	BRD-K08878345
LSM-2180	BRD-K08890269
LSM-2182	BRD-K08996725
LSM-2183	BRD-K08998509
LSM-2184	BRD-K09138889
LSM-2185	BRD-K09191212
LSM-2186	BRD-K09255212
LSM-2187	BRD-K09299610
LSM-2188	BRD-K09397065
LSM-2189	BRD-K09416995
LSM-2191	BRD-K09537769
LSM-2191	10360
LSM-2192	BRD-K09549677
LSM-2193	BRD-K09602097
LSM-2193	CGC00000765
LSM-2194	BRD-K09631521
LSM-2195	BRD-K09635134
LSM-2196	BRD-K09635314
LSM-2198	BRD-K09668667
LSM-2199	BRD-K09716788
LSM-2201	BRD-K09778810
LSM-2202	BRD-K09859624
LSM-2203	BRD-K09902564
LSM-2204	BRD-K09922072
LSM-2205	BRD-K09963420
LSM-2206	BRD-K10042277
LSM-2207	BRD-K10057859
LSM-2208	BRD-K10065684
LSM-2210	BRD-K10114046
LSM-2211	BRD-K10136726
LSM-2212	BRD-K10176267
LSM-2213	BRD-K10177585
LSM-2214	BRD-K10207760
LSM-2215	BRD-K10355322
LSM-2216	BRD-K10361096
LSM-2217	BRD-K10705233
LSM-2218	BRD-K10806285
LSM-2219	BRD-K10843433
LSM-2220	BRD-K10846167
LSM-2221	BRD-K10855750
LSM-2223	BRD-K10974103
LSM-2224	BRD-K10995081
LSM-2225	BRD-K11015688
LSM-2226	BRD-K11107424
LSM-2227	BRD-K11129031
LSM-2229	CGC00003472
LSM-2229	BRD-K11163873
LSM-2230	BRD-K11187612
LSM-2231	BRD-K11260407
LSM-2232	BRD-K11373525
LSM-2233	BRD-K11399644
LSM-2233	CGC00000159
LSM-2234	BRD-K11540476
LSM-2235	BRD-K11611839
LSM-2236	BRD-K11634954
LSM-2237	BRD-K11671649
LSM-2238	BRD-K11696279
LSM-2239	CGC00000963
LSM-2239	BRD-K11717138
LSM-2240	BRD-K56231354
LSM-2241	BRD-K11757396
LSM-2242	BRD-K11778076
LSM-2243	BRD-K11911061
LSM-2244	BRD-K11927976
LSM-2245	BRD-K11928012
LSM-2246	BRD-K12057390
LSM-2247	BRD-K12079898
LSM-2248	BRD-K12120659
LSM-2249	BRD-K12168891
LSM-2250	BRD-K12184470
LSM-2251	BRD-K12219985
LSM-2252	BRD-K12238169
LSM-2253	BRD-K23432132
LSM-2254	BRD-K12260308
LSM-2255	BRD-K12357156
LSM-2256	BRD-K12393722
LSM-2258	BRD-K12513978
LSM-2259	BRD-K16542329
LSM-2259	BRD-K12516989
LSM-2260	BRD-K12539581
LSM-2261	BRD-K12540328
LSM-2262	BRD-K12579869
LSM-2263	BRD-K12621773
LSM-2264	BRD-K12623437
LSM-2265	BRD-K12690157
LSM-2266	BRD-K12707296
LSM-2267	BRD-K12765235
LSM-2269	BRD-K12867552
LSM-2270	BRD-K63915987
LSM-2270	BRD-K12906962
LSM-2271	BRD-K12932420
LSM-2272	BRD-K13032584
LSM-2273	BRD-K13046565
LSM-2274	BRD-K13146765
LSM-2275	BRD-K13169950
LSM-2276	BRD-K13211965
LSM-2277	BRD-K13261168
LSM-2278	BRD-K13277629
LSM-2279	BRD-K13318664
LSM-2280	BRD-K03222093
LSM-2281	BRD-K13544237
LSM-2282	BRD-K13571841
LSM-2283	BRD-K13580623
LSM-2284	BRD-K13604076
LSM-2285	BRD-K13605477
LSM-2286	BRD-K13642330
LSM-2287	BRD-K13646352
LSM-2288	BRD-K13665914
LSM-2289	BRD-K13725475
LSM-2290	BRD-K13819402
LSM-2291	BRD-K13842623
LSM-2292	BRD-K13926615
LSM-2294	BRD-K14048378
LSM-2295	BRD-K14096083
LSM-2296	BRD-K14171663
LSM-2297	BRD-K14200658
LSM-2298	BRD-K30816563
LSM-2299	BRD-K14221570
LSM-2300	BRD-K14236372
LSM-2301	BRD-K14270862
LSM-2302	BRD-K14282469
LSM-2303	BRD-K14324645
LSM-2304	BRD-K14355517
LSM-2305	BRD-K14402394
LSM-2306	BRD-K14441456
LSM-2307	BRD-K52015643
LSM-2309	BRD-K14618467
LSM-2309	10228
LSM-2310	BRD-K14693417
LSM-2311	BRD-K14711204
LSM-2312	BRD-K14749055
LSM-2313	BRD-K14765469
LSM-2314	BRD-K14767410
LSM-2315	BRD-K14788918
LSM-2316	BRD-K14807180
LSM-2317	BRD-K14821540
LSM-2318	BRD-K14844937
LSM-2319	BRD-K14914284
LSM-2320	BRD-K14920963
LSM-2321	BRD-K14939371
LSM-2322	BRD-K14945759
LSM-2323	BRD-K14965640
LSM-2324	BRD-K14975149
LSM-2325	BRD-K14993104
LSM-2327	BRD-K15054362
LSM-2328	BRD-K15086322
LSM-2329	BRD-K15164005
LSM-2330	BRD-K15166186
LSM-2331	BRD-K15196155
LSM-2332	BRD-K15206810
LSM-2333	BRD-K15293421
LSM-2334	BRD-K15409150
LSM-2335	BRD-K15440898
LSM-2336	BRD-K15467014
LSM-2337	BRD-K15522385
LSM-2338	BRD-K15567136
LSM-2339	BRD-K15588452
LSM-2340	BRD-K15601958
LSM-2341	BRD-K15616905
LSM-2342	BRD-K15640888
LSM-2343	BRD-K15715913
LSM-2344	BRD-K15716662
LSM-2345	BRD-K15791587
LSM-2346	BRD-K15834839
LSM-2347	BRD-K15842202
LSM-2348	BRD-K15868788
LSM-2349	BRD-K15885023
LSM-2350	BRD-K15888437
LSM-2351	BRD-K15933101
LSM-2353	CGC00000066
LSM-2353	BRD-K16195444
LSM-2354	BRD-K16233984
LSM-2355	BRD-K16277217
LSM-2357	BRD-K16444452
LSM-2358	BRD-K16472144
LSM-2359	BRD-K16508793
LSM-2360	BRD-K16551401
LSM-2361	BRD-K16604360
LSM-2362	BRD-K16618170
LSM-2363	BRD-K16664969
LSM-2365	BRD-K16947188
LSM-2366	BRD-K16977723
LSM-2367	BRD-K17008822
LSM-2368	BRD-K17016787
LSM-2369	BRD-K17023947
LSM-2370	BRD-K17025677
LSM-2371	BRD-K17075857
LSM-2373	BRD-K17110974
LSM-2374	BRD-K17203693
LSM-2375	BRD-K17294426
LSM-2376	BRD-K17378184
LSM-2379	BRD-K17561142
LSM-2380	BRD-K17674993
LSM-2381	BRD-K17693482
LSM-2382	BRD-K17705806
LSM-2383	BRD-K17739445
LSM-2384	BRD-K17743697
LSM-2385	BRD-K17754811
LSM-2386	BRD-K17796732
LSM-2387	BRD-K17830172
LSM-2387	BRD-K64970062
LSM-2388	BRD-K19533706
LSM-2389	BRD-K17868609
LSM-2391	BRD-K17896185
LSM-2392	BRD-K17915279
LSM-2393	BRD-K17969842
LSM-2394	BRD-K18036262
LSM-2396	BRD-K18194590
LSM-2396	BRD-M61872305
LSM-2397	BRD-K18250272
LSM-2398	BRD-K18316707
LSM-2399	BRD-K18453942
LSM-2400	BRD-K18495986
LSM-2401	BRD-K18518344
LSM-2401	CGC00002042
LSM-2402	BRD-K18574842
LSM-2403	BRD-K18595892
LSM-2404	BRD-A76753281
LSM-2404	BRD-K18618618
LSM-2404	BRD-K34157611
LSM-2405	BRD-K18619710
LSM-2406	BRD-K18678457
LSM-2407	BRD-K18711687
LSM-2408	BRD-K18724229
LSM-2409	BRD-K18726304
LSM-2410	BRD-K18742343
LSM-2412	BRD-K18761689
LSM-2413	BRD-K18779551
LSM-2414	BRD-K18799075
LSM-2415	BRD-K18814832
LSM-2416	BRD-K18816859
LSM-2417	BRD-K18861610
LSM-2418	BRD-K18865856
LSM-2419	BRD-K18905250
LSM-2420	BRD-K18909381
LSM-2421	BRD-K18910433
LSM-2421	MEP_LINCS_B-estradiol
LSM-2421	EST
LSM-2422	BRD-K18953385
LSM-2423	BRD-K18970629
LSM-2424	BRD-K19027210
LSM-2425	BRD-K19056367
LSM-2426	BRD-K19059335
LSM-2427	BRD-K19111024
LSM-2428	BRD-K19117583
LSM-2429	BRD-K19134488
LSM-2430	BRD-K19136521
LSM-2430	BRD-K53959060
LSM-2431	BRD-K19146323
LSM-2432	BRD-K19227686
LSM-2433	BRD-K19284129
LSM-2434	BRD-K19290969
LSM-2435	BRD-K19309090
LSM-2436	BRD-K19352500
LSM-2437	BRD-K19360254
LSM-2438	BRD-K19410523
LSM-2439	BRD-K19433082
LSM-2440	BRD-K19499941
LSM-2441	BRD-K19507340
LSM-2442	BRD-K19525698
LSM-2443	BRD-K19554809
LSM-2444	BRD-K19605405
LSM-2445	BRD-K19609011
LSM-2446	BRD-K19724398
LSM-2447	BRD-K19735876
LSM-2448	BRD-K19812755
LSM-2449	BRD-K19973744
LSM-2451	BRD-K20032655
LSM-2452	BRD-K20141153
LSM-2454	BRD-K60487568
LSM-2456	BRD-K20401833
LSM-2457	BRD-K20482099
LSM-2458	BRD-K20492338
LSM-2459	BRD-K20655524
LSM-2460	BRD-K20714604
LSM-2461	BRD-K20742498
LSM-2462	BRD-K20755323
LSM-2463	BRD-K20914082
LSM-2464	BRD-K20923001
LSM-2465	BRD-K20995441
LSM-2466	BRD-K21005091
LSM-2467	BRD-K21009077
LSM-2468	BRD-K21064560
LSM-2469	BRD-K21170640
LSM-2470	BRD-K21237738
LSM-2471	BRD-K21283037
LSM-2472	BRD-K21350491
LSM-2473	BRD-K21401822
LSM-2474	BRD-K06804762
LSM-2474	BRD-K21450440
LSM-2475	BRD-K21482967
LSM-2476	BRD-K21548250
LSM-2477	BRD-K21565985
LSM-2478	BRD-K21614065
LSM-2479	BRD-K21640605
LSM-2480	BRD-K21667562
LSM-2481	BRD-K21680192
LSM-2481	CGC00000732
LSM-2481	10479
LSM-2482	BRD-K21733600
LSM-2483	BRD-K21773564
LSM-2484	BRD-K21788104
LSM-2485	BRD-K21822525
LSM-2487	BRD-K21936341
LSM-2488	BRD-K22006123
LSM-2489	BRD-K22010301
LSM-2490	BRD-K22031190
LSM-2491	BRD-K22129929
LSM-2492	BRD-K22134346
LSM-2493	BRD-K22193694
LSM-2494	BRD-K22210218
LSM-2495	BRD-K22215695
LSM-2496	BRD-K22337096
LSM-2497	BRD-K22385716
LSM-2498	BRD-K22449070
LSM-2499	CGC00003053
LSM-2499	BRD-K22503835
LSM-2500	BRD-K22546959
LSM-2501	BRD-K22831754
LSM-2502	BRD-K22988559
LSM-2503	BRD-K23027438
LSM-2504	BRD-K23149109
LSM-2505	BRD-K23165181
LSM-2506	BRD-K23217072
LSM-2507	BRD-K23335153
LSM-2508	BRD-K23342641
LSM-2509	BRD-K23383398
LSM-2510	BRD-K23412959
LSM-2511	BRD-K23478508
LSM-2512	BRD-K23531129
LSM-2513	BRD-K23566484
LSM-2514	BRD-K23583188
LSM-2515	BRD-K23623876
LSM-2516	BRD-K23673040
LSM-2516	BRD-K85660637
LSM-2517	BRD-K23774426
LSM-2518	BRD-K23896287
LSM-2519	BRD-K23913458
LSM-2520	BRD-K23922020
LSM-2521	BRD-K23935793
LSM-2523	BRD-K24023109
LSM-2524	BRD-K24051260
LSM-2525	BRD-K24053527
LSM-2526	BRD-K24127443
LSM-2528	BRD-K24156250
LSM-2529	BRD-K24201553
LSM-2530	BRD-K24240364
LSM-2531	BRD-K24281017
LSM-2532	BRD-K24426149
LSM-2533	BRD-K24461445
LSM-2534	BRD-K24468827
LSM-2535	BRD-K24526313
LSM-2536	BRD-K24538644
LSM-2537	BRD-K24564544
LSM-2537	BRD-K33720404
LSM-2538	BRD-K24598397
LSM-2539	BRD-K24632213
LSM-2540	BRD-K24665987
LSM-2541	BRD-K24675965
LSM-2542	BRD-K02558072
LSM-2542	BRD-K24677486
LSM-2543	BRD-K24686773
LSM-2544	BRD-K24705176
LSM-2545	BRD-K24925364
LSM-2546	BRD-K25094947
LSM-2547	BRD-K25150581
LSM-2548	BRD-K25186396
LSM-2549	BRD-K25190777
LSM-2550	BRD-K25224017
LSM-2551	BRD-K25320246
LSM-2552	BRD-K25373946
LSM-2553	BRD-K25394294
LSM-2554	BRD-K25460880
LSM-2555	BRD-K25522720
LSM-2557	BRD-K25591257
LSM-2558	BRD-M72681210
LSM-2558	BRD-K25650355
LSM-2559	BRD-K25662647
LSM-2560	BRD-K25741894
LSM-2561	BRD-K25774147
LSM-2562	BRD-K25784575
LSM-2563	BRD-K25835021
LSM-2564	BRD-K25836724
LSM-2565	BRD-K25875056
LSM-2566	BRD-K25905511
LSM-2567	BRD-K25906698
LSM-2568	BRD-K26015241
LSM-2569	BRD-K26117720
LSM-2570	BRD-K26134695
LSM-2571	BRD-K26160061
LSM-2572	BRD-K26160755
LSM-2573	BRD-K26211296
LSM-2574	BRD-K26233379
LSM-2575	BRD-K26241953
LSM-2576	BRD-K26257340
LSM-2577	BRD-K26300881
LSM-2578	BRD-K26304855
LSM-2579	BRD-K26373640
LSM-2580	BRD-K26429091
LSM-2582	BRD-K26548821
LSM-2585	BRD-K26767475
LSM-2586	BRD-K26801045
LSM-2587	BRD-K26815099
LSM-2589	BRD-K26906367
LSM-2590	BRD-K26947839
LSM-2591	BRD-K26979635
LSM-2592	BRD-K26997899
LSM-2593	BRD-K27074404
LSM-2594	BRD-K27141178
LSM-2595	BRD-K27169919
LSM-2596	BRD-K27290412
LSM-2597	PCCSE_LY-294002
LSM-2597	BRD-K27305650
LSM-2598	BRD-K27351809
LSM-2599	BRD-K27440500
LSM-2600	BRD-K27450477
LSM-2601	BRD-K27484191
LSM-2603	BRD-K27520107
LSM-2604	BRD-K27539181
LSM-2605	BRD-K27630941
LSM-2606	BRD-K27665173
LSM-2607	BRD-K27710560
LSM-2608	BRD-K00096759
LSM-2609	BRD-K27871032
LSM-2610	BRD-K28040935
LSM-2611	BRD-K28075147
LSM-2612	BRD-K28112517
LSM-2613	BRD-K28115081
LSM-2614	BRD-K28137194
LSM-2615	BRD-K28167849
LSM-2616	BRD-K28168037
LSM-2617	BRD-K28180706
LSM-2618	BRD-K28183345
LSM-2619	BRD-K28215800
LSM-2620	BRD-K28284219
LSM-2621	BRD-K28307902
LSM-2622	BRD-K28362289
LSM-2623	BRD-K28366444
LSM-2624	BRD-K28366633
LSM-2625	BRD-K28452084
LSM-2626	BRD-K28453807
LSM-2627	BRD-K28472299
LSM-2628	BRD-K28578425
LSM-2629	BRD-K28667196
LSM-2630	BRD-K28680267
LSM-2631	BRD-K00198051
LSM-2632	BRD-K28774715
LSM-2633	BRD-K28806945
LSM-2634	BRD-K28863208
LSM-2635	BRD-K28892486
LSM-2636	BRD-K28916077
LSM-2637	BRD-K28936863
LSM-2638	BRD-K29140223
LSM-2639	BRD-K29143967
LSM-2641	BRD-K29173907
LSM-2642	BRD-K29178788
